group,metric,label,cc_iso3c,raw_value,value,imputed,radar_x,radar_y,data_label,hover_label
0_indicators,ind_dig,Digital services,SVK,0.46338606912012703,0.46338606912012703,,0.44759657170570205,0.1199331399234819,0.46,"SVK - Digital
services: 0.46"
0_indicators,ind_dig,Digital services,SVN,0.43077694797516936,0.43077694797516936,,0.4160985794191985,0.11149327832711153,0.43,"SVN - Digital
services: 0.43"
0_indicators,ind_dig,Digital services,SWE,0.7464843677287564,0.7464843677287564,,0.7210485297102717,0.1932043712395156,0.75,"SWE - Digital
services: 0.75"
0_indicators,ind_dig,Digital services,TUR,0.47314815638483904,0.47314815638483904,,0.457026023913175,0.12245975402754214,0.47,"TUR - Digital
services: 0.47"
0_indicators,ind_dig,Digital services,USA,0.6861485841514743,,0.6861485841514743,0.6627686381035871,0.1775883213485311,0.69,"USA - Digital
services: 0.69
(imputed)"
0_indicators,ind_ffm,Fiscal and financial management,AUS,0.721270933902963,0.721270933902963,,0.6966942228085076,-0.18667865437296824,0.72,"AUS - Fiscal
and financial
management: 0.72"
0_indicators,ind_ffm,Fiscal and financial management,AUT,0.592033769719804,0.592033769719804,,0.5718607082076337,-0.15322961494732534,0.59,"AUT - Fiscal
and financial
management: 0.59"
0_indicators,ind_ffm,Fiscal and financial management,BEL,0.3472140761088162,0.3472140761088162,,0.3353830433646038,-0.08986561562463777,0.35,"BEL - Fiscal
and financial
management: 0.35"
0_indicators,ind_ffm,Fiscal and financial management,BGR,0.5059381531866041,0.5059381531866041,,0.48869872866793573,-0.13094642968868972,0.51,"BGR - Fiscal
and financial
management: 0.51"
0_indicators,ind_ffm,Fiscal and financial management,CAN,0.6783129318951031,0.6783129318951031,,0.655199979223338,-0.17556030531378178,0.68,"CAN - Fiscal
and financial
management: 0.68"
0_indicators,ind_ffm,Fiscal and financial management,CHE,0.7823530954967959,0.7823530954967959,,0.755695060217553,-0.20248788110948193,0.78,"CHE - Fiscal
and financial
management: 0.78"
0_indicators,ind_ffm,Fiscal and financial management,CHL,0.4769086571409024,0.4769086571409024,,0.46065838871323617,-0.12343304324233383,0.48,"CHL - Fiscal
and financial
management: 0.48"
0_indicators,ind_ffm,Fiscal and financial management,CZE,0.5087590272569006,0.5087590272569006,,0.49142348378514433,-0.13167652562191834,0.51,"CZE - Fiscal
and financial
management: 0.51"
0_indicators,ind_ffm,Fiscal and financial management,DEU,0.8245121550969247,0.8245121550969247,,0.7964175846973774,-0.21339944865760752,0.82,"DEU - Fiscal
and financial
management: 0.82"
0_indicators,ind_ffm,Fiscal and financial management,DNK,0.673343377499003,0.673343377499003,,0.6503997582869965,-0.1742740899903981,0.67,"DNK - Fiscal
and financial
management: 0.67"
0_indicators,ind_ffm,Fiscal and financial management,ESP,0.7227850955791714,0.7227850955791714,,0.6981567906767343,-0.18707054825213532,0.72,"ESP - Fiscal
and financial
management: 0.72"
0_indicators,ind_ffm,Fiscal and financial management,EST,0.7191691210241098,0.7191691210241098,,0.6946640274667962,-0.18613466517067928,0.72,"EST - Fiscal
and financial
management: 0.72"
0_indicators,ind_ffm,Fiscal and financial management,FIN,0.7292554742954658,0.7292554742954658,,0.7044066965846743,-0.1887452054929383,0.73,"FIN - Fiscal
and financial
management: 0.73"
0_indicators,ind_ffm,Fiscal and financial management,FRA,0.7305873742200615,0.7305873742200615,,0.7056932131198737,-0.18908992655959428,0.73,"FRA - Fiscal
and financial
management: 0.73"
0_indicators,ind_ffm,Fiscal and financial management,GBR,0.944731744061556,0.944731744061556,,0.9125407905041711,-0.24451456787605094,0.94,"GBR - Fiscal
and financial
management: 0.94"
0_indicators,ind_ffm,Fiscal and financial management,GRC,0.3208489554607418,0.3208489554607418,,0.30991629241740154,-0.0830418202744904,0.32,"GRC - Fiscal
and financial
management: 0.32"
0_indicators,ind_ffm,Fiscal and financial management,HRV,0.45444597120674624,0.45444597120674624,,0.4389611002416145,-0.11761927231841769,0.45,"HRV - Fiscal
and financial
management: 0.45"
0_indicators,ind_ffm,Fiscal and financial management,HUN,0.10231619816773478,0.10231619816773478,,0.09882985825792527,-0.0264813807082934,0.10,"HUN - Fiscal
and financial
management: 0.10"
